Direction,ReferenceIndex,PayDate,AccrualStart,AccrualEnd,Days,Notional,Principal,ResetDate,ResetRate,Payment,Discount,PV
REC,EURIBOR3M,2024-01-04,NULL,NULL,NULL,NULL,-10000000,NULL,NULL,-10000000,0.999783,-9997834.45
REC,EURIBOR3M,2024-04-05,2024-01-04,2024-04-05,92,10000000,0,2024-01-02,3.90452,99782.09,0.989994,98783.63
REC,EURIBOR3M,2024-07-05,2024-04-05,2024-07-05,91,10000000,0,2024-04-03,3.54043,89494.31,0.981364,87826.52
REC,EURIBOR3M,2024-10-07,2024-07-05,2024-10-07,94,10000000,0,2024-07-03,2.99829,78288.56,0.973905,76245.65
REC,EURIBOR3M,2025-01-06,2024-10-07,2025-01-06,91,10000000,0,2024-10-03,2.58875,65437.81,0.967857,63334.42
REC,EURIBOR3M,2025-04-07,2025-01-06,2025-04-07,91,10000000,0,2025-01-02,2.26873,57348.34,0.962857,55218.27
REC,EURIBOR3M,2025-07-07,2025-04-07,2025-07-07,91,10000000,0,2025-04-03,2.05495,51944.47,0.957884,49756.76
REC,EURIBOR3M,2025-10-06,2025-07-07,2025-10-06,91,10000000,0,2025-07-03,1.93556,48926.61,0.953563,46654.58
REC,EURIBOR3M,2026-01-05,2025-10-06,2026-01-05,91,10000000,0,2025-10-02,1.90118,48057.63,0.949261,45619.22
REC,EURIBOR3M,2026-04-07,2026-01-05,2026-04-07,92,10000000,0,2025-12-31,1.93308,49400.89,0.944816,46674.77
REC,EURIBOR3M,2026-07-06,2026-04-07,2026-07-06,90,10000000,0,2026-04-01,2.03423,50855.73,0.940487,47829.18
REC,EURIBOR3M,2026-10-05,2026-07-06,2026-10-05,91,10000000,0,2026-07-02,2.03429,51422.24,0.936131,48137.94
REC,EURIBOR3M,2027-01-05,2026-10-05,2027-01-05,92,10000000,0,2026-10-01,2.03509,52007.81,0.931746,48458.09
REC,EURIBOR3M,2027-04-05,2027-01-05,2027-04-05,90,10000000,0,2026-12-31,2.10269,52567.35,0.927257,48743.45
REC,EURIBOR3M,2027-07-05,2027-04-05,2027-07-05,91,10000000,0,2027-04-01,2.10276,53152.99,0.92274,49046.38
REC,EURIBOR3M,2027-10-05,2027-07-05,2027-10-05,92,10000000,0,2027-07-01,2.10282,53738.65,0.918195,49342.57
REC,EURIBOR3M,2028-01-05,2027-10-05,2028-01-05,92,10000000,0,2027-10-01,2.10417,53773.22,0.913673,49131.14
REC,EURIBOR3M,2028-04-05,2028-01-05,2028-04-05,91,10000000,0,2028-01-03,2.22721,56299.02,0.908904,51170.41
REC,EURIBOR3M,2028-07-05,2028-04-05,2028-07-05,91,10000000,0,2028-04-03,2.22721,56299.02,0.90416,50903.32
REC,EURIBOR3M,2028-10-05,2028-07-05,2028-10-05,92,10000000,0,2028-07-03,2.22728,56919.44,0.899389,51192.73
REC,EURIBOR3M,2029-01-05,2028-10-05,2029-01-05,92,10000000,0,2028-10-03,2.2282,56942.76,0.894643,50943.46
REC,EURIBOR3M,2029-04-05,2029-01-05,2029-04-05,90,10000000,0,2029-01-03,2.31109,57777.36,0.889808,51410.77
REC,EURIBOR3M,2029-07-05,2029-04-05,2029-07-05,91,10000000,0,2029-04-03,2.31117,58421.21,0.884946,51699.61
REC,EURIBOR3M,2029-10-05,2029-07-05,2029-10-05,92,10000000,0,2029-07-03,2.31124,59065.09,0.880057,51980.67
REC,EURIBOR3M,2030-01-07,2029-10-05,2030-01-07,94,10000000,0,2029-10-03,2.31677,60493.52,0.87509,52937.29
REC,EURIBOR3M,2030-04-05,2030-01-07,2030-04-05,88,10000000,0,2030-01-03,2.47956,60611.43,0.870103,52738.21
REC,EURIBOR3M,2030-07-05,2030-04-05,2030-07-05,91,10000000,0,2030-04-03,2.47981,62684.19,0.864976,54220.34
REC,EURIBOR3M,2030-10-07,2030-07-05,2030-10-07,94,10000000,0,2030-07-03,2.48007,64757.38,0.859712,55672.69
REC,EURIBOR3M,2031-01-06,2030-10-07,2031-01-06,91,10000000,0,2030-10-03,2.47981,62684.19,0.854646,53572.79
REC,EURIBOR3M,2031-04-07,2031-01-06,2031-04-07,91,10000000,0,2031-01-02,2.55477,64578.97,0.849437,54855.79
REC,EURIBOR3M,2031-07-07,2031-04-07,2031-07-07,91,10000000,0,2031-04-03,2.55477,64578.97,0.844259,54521.34
REC,EURIBOR3M,2031-10-06,2031-07-07,2031-10-06,91,10000000,0,2031-07-03,2.55477,64578.97,0.839111,54188.94
REC,EURIBOR3M,2032-01-05,2031-10-06,2032-01-05,91,10000000,0,2031-10-02,2.55477,64578.97,0.833995,53858.56
REC,EURIBOR3M,2032-04-05,2032-01-05,2032-04-05,91,10000000,0,2031-12-31,2.63437,66591.06,0.828699,55183.92
REC,EURIBOR3M,2032-07-05,2032-04-05,2032-07-05,91,10000000,0,2032-04-01,2.63437,66591.06,0.823433,54833.3
REC,EURIBOR3M,2032-10-05,2032-07-05,2032-10-05,92,10000000,0,2032-07-01,2.63447,67325.28,0.818144,55081.79
REC,EURIBOR3M,2033-01-05,2032-10-05,2033-01-05,92,10000000,0,2032-10-01,2.6359,67361.88,0.812889,54757.73
REC,EURIBOR3M,2033-04-05,2033-01-05,2033-04-05,90,10000000,0,2033-01-03,2.76603,69150.71,0.807578,55844.57
REC,EURIBOR3M,2033-07-05,2033-04-05,2033-07-05,91,10000000,0,2033-04-01,2.76613,69921.73,0.802243,56094.2
REC,EURIBOR3M,2033-10-05,2033-07-05,2033-10-05,92,10000000,0,2033-07-01,2.76624,70692.81,0.796885,56334.04
REC,EURIBOR3M,2034-01-05,2033-10-05,2034-01-05,92,10000000,0,2033-10-03,2.76705,70713.62,0.791563,55974.29
REC,EURIBOR3M,2034-04-05,2034-01-05,2034-04-05,90,10000000,0,2034-01-03,2.84092,71022.98,0.786295,55844.99
REC,EURIBOR3M,2034-07-05,2034-04-05,2034-07-05,91,10000000,0,2034-04-03,2.84103,71814.95,0.781003,56087.72
REC,EURIBOR3M,2034-10-05,2034-07-05,2034-10-05,92,10000000,0,2034-07-03,2.84114,72606.99,0.77569,56320.52
REC,EURIBOR3M,2035-01-05,2034-10-05,2035-01-05,92,10000000,0,2034-10-03,2.84163,72619.52,0.770413,55947.02
REC,EURIBOR3M,2035-04-05,2035-01-05,2035-04-05,90,10000000,0,2035-01-03,2.88604,72150.97,0.764971,55193.38
REC,EURIBOR3M,2035-07-05,2035-04-05,2035-07-05,91,10000000,0,2035-04-03,2.88615,72955.57,0.759507,55410.26
REC,EURIBOR3M,2035-10-05,2035-07-05,2035-10-05,92,10000000,0,2035-07-03,2.88627,73760.23,0.754023,55616.89
REC,EURIBOR3M,2036-01-07,2035-10-05,2036-01-07,94,10000000,0,2035-10-03,2.88448,75316.98,0.74846,56371.77
REC,EURIBOR3M,2036-04-07,2036-01-07,2036-04-07,91,10000000,0,2036-01-03,2.82286,71355.73,0.743283,53037.53
REC,EURIBOR3M,2036-07-07,2036-04-07,2036-07-07,91,10000000,0,2036-04-03,2.82286,71355.73,0.738142,52670.68
REC,EURIBOR3M,2036-10-06,2036-07-07,2036-10-06,91,10000000,0,2036-07-03,2.82286,71355.73,0.733037,52306.37
REC,EURIBOR3M,2037-01-05,2036-10-06,2037-01-05,91,10000000,0,2036-10-02,2.82286,71355.73,0.727966,51944.58
REC,EURIBOR3M,2037-04-07,2037-01-05,2037-04-07,92,10000000,0,2036-12-31,2.82297,72142.69,0.722876,52150.23
REC,EURIBOR3M,2037-07-06,2037-04-07,2037-07-06,90,10000000,0,2037-04-01,2.82275,70568.85,0.717931,50663.56
REC,EURIBOR3M,2037-10-05,2037-07-06,2037-10-05,91,10000000,0,2037-07-02,2.82286,71355.73,0.712965,50874.16
REC,EURIBOR3M,2038-01-05,2037-10-05,2038-01-05,92,10000000,0,2037-10-01,2.82297,72142.69,0.70798,51075.57
REC,EURIBOR3M,2038-04-05,2038-01-05,2038-04-05,90,10000000,0,2037-12-31,2.82275,70568.85,0.703137,49619.54
REC,EURIBOR3M,2038-07-05,2038-04-05,2038-07-05,91,10000000,0,2038-04-01,2.82286,71355.73,0.698273,49825.79
REC,EURIBOR3M,2038-10-05,2038-07-05,2038-10-05,92,10000000,0,2038-07-01,2.82297,72142.69,0.69339,50023.05
REC,EURIBOR3M,2039-01-05,2038-10-05,2039-01-05,92,10000000,0,2038-10-01,2.81944,72052.31,0.688542,49611.03
REC,EURIBOR3M,2039-04-05,2039-01-05,2039-04-05,90,10000000,0,2039-01-03,2.49757,62439.18,0.684361,42730.93
